Last_Name,First_Name,Unit,Street_Number,Street_Name,Street_Type,Suburb,Postcode,Full_Address,Number_Adults,Number_Children,Lat,Long,Primary_Phone,Emergency_Phone,Risk
Abbott,Venus,,15,Christensen,Avenue,Stonefield,6037,"15 Christensen Avenue, Stonefield 6037",1,0,-31.86319393,115.9719558,0417653699,0410031384,LOW
Acevedo,Hayfa,,40,Kline,Street,Stonefield,6032,"40 Kline Street, Stonefield 6037",3,0,-32.03412203,115.9570962,0459935769,0410122956,MED
Adkins,Thomas,,35,Howe,Street,Billayong,6032,"35 Howe Street, Billayong 6032",1,2,-32.07632594,115.9411167,0428012185,0410441931,LOW
Aguilar,Kyle,,17,Sweeney,Road,Albadale,6032,"17 Sweeney Road, Albadale 6032",2,1,-32.08052004,115.9078885,0467702333,0411168883,LOW
Aguirre,Melinda,,11,Pickett,Way,South Cobrook,6064,"11 Pickett Way, South Cobrook 6064",3,0,-32.01498402,116.2638962,0448987242,0411324263,LOW
Albert,Forrest,Unit 2,43,Barnes,Street,St Spencer,6051,"Unit 2, 43 Barnes Street, St Spencer 6051",2,1,-31.86936125,116.2028286,(08) 65317092,0411934451,LOW
Alexander,Dorothy,,12,Hess,Street,South Cobrook,6021,"12 Hess Street, South Cobrook 6021",1,2,-31.8631981,116.1215957,0488101608,0412037747,MED
Alford,Sage,,14,Watson,Road,Greenville,6084,"14 Watson Road, Greenville 6084",2,3,-31.91497136,116.1893151,0488444335,0412350332,LOW
Allison,Nelle,,16,Dunlap,Road,Stonefield,6051,"16 Dunlap Road, Stonefield 6051",3,2,-31.9350962,115.9563554,0469972945,0412710752,MED
Allison,Quinlan,,42,Myers,Road,Swan Brook,6058,"42 Myers Road, Swan Brook 6058",2,0,-31.98597242,116.0284881,0428219052,0412904893,LOW
Alvarado,Phillip,,21,Delaney,Street,St Spencer,6032,"21 Delaney Street, St Spencer 6032",3,2,-32.0088812,115.939464,0418616245,0413133378,LOW
Alvarez,Samuel,,38,Wilkins,Road,Henley Creek,6095,"38 Wilkins Road, Henley Creek 6095",5,7,-31.96190523,116.0258755,0492795212,0413134890,MED
Armstrong,Amery,,35,Moses,Street,Mount Woorup,6042,"35 Moses Street, Mount Woorup 6059",3,0,-31.9304365,115.9069736,(08) 67429845,0413178901,LOW
Armstrong,Grace,,54,Mcknight,Street,Mount Woorup,6059,"54 Mcknight Street, Mount Woorup 6059",1,2,-32.0740945,115.9837784,0436781237,0413609243,LOW
Armstrong,Kyra,,40,Hooper,Street,Mount Woorup,6059,"40 Hooper Street, Mount Woorup 6059",1,0,-32.02536584,116.1371575,0436380217,0413535407,MED
Atkinson,Heather,,54,Hickman,Circle,St Spencer,6032,"54 Hickman Circle, St Spencer 6032",2,1,-32.05560992,115.9292069,0446234889,0414005519,MED
